evolution$generation,redCrossActivationDelay,redCrossEfficiencyProbability,redCrossExhaustionProbability,fitness1,fitness2,fitness3,evolution$samples
4000,4,0.9999939284189799,0.6060100138313766,0.28,24.22,79.47999999999996,1
4000,7,0.9999998591423305,0.6676583933982099,0.28,16.28,441.06000000000006,90
4000,3,0.9999995689947563,0.5791266113111682,0.28,16.78,253.8799999999999,5
4000,6,0.9999662153298933,0.45,0.28,13.280000000000001,266.5799999999998,6
4000,7,0.9997618741122585,0.7607785457494531,0.28,17.22,429.5999999999999,100
4000,6,1.0,0.7140876825981348,0.28,0.7800000000000011,303.6,3
4000,4,1.0,0.48959715210363336,0.28,23.22,287.2399999999999,35
4000,8,1.0,0.4511804236734707,0.28,1.0,242.06000000000006,4
4000,4,1.0,0.6086822523333005,0.28,7.219999999999999,203.10000000000002,2
4000,4,1.0,0.4686032972801684,0.28,16.78,93.08000000000001,1
4000,3,0.9999919766984315,0.7944862637787535,0.28,19.22,341.72000000000014,95
4000,4,0.9999897033559417,0.6718332718740364,0.28,17.0,311.1000000000001,56
4000,7,0.9999659640778055,0.7493043817724483,0.28,0.21999999999999886,161.04000000000005,1
4000,5,1.0,0.4672721896057505,0.28,19.78,338.03999999999996,87
4000,8,0.9999999206181704,0.6287459534592069,0.28,10.219999999999999,438.68000000000006,9
4000,2,1.0,0.6652710764693371,0.28,5.780000000000001,97.11999999999995,1
4000,3,1.0,0.6653484281318917,0.28,15.280000000000001,327.70000000000005,40
4000,9,1.0,0.6255789677432263,0.28,7.780000000000001,96.51999999999998,1
4000,5,1.0,0.9870317109021143,0.28,5.219999999999999,277.28000000000014,7
4000,3,0.9999992729768971,0.5936244010463884,0.28,27.78,240.65999999999994,6
4000,3,1.0,0.5081438256066902,0.28,20.0,291.68,20
4000,3,1.0,0.9343047972416327,0.28,12.219999999999999,390.43999999999994,25
4000,3,0.9999939272629208,0.6419265109332385,0.28,20.78,280.3199999999999,18
4000,4,1.0,0.4866292038707525,0.28,17.78,354.04,88
4000,6,0.9997341135784014,0.7134554208649637,0.28,18.28,378.09999999999997,90
4000,3,0.9999735192814851,0.4502678269980004,0.28,18.5,239.1400000000001,4
4000,8,0.999999894921054,0.45,0.28,0.7800000000000011,110.71999999999994,1
4000,4,1.0,0.4968458908555972,0.28,19.28,379.67999999999995,100
4000,4,0.9999999998821543,0.6054423604758876,0.28,13.280000000000001,301.62000000000006,12
4000,3,1.0,0.47062710743866376,0.28,18.28,382.08000000000004,94
4000,9,0.9999919124659771,0.7011271000592302,0.28,7.780000000000001,142.5999999999999,3
4000,5,0.9999999976043693,0.4632467729158597,0.28,3.0,278.74,6
4000,5,1.0,0.6248660716846014,0.28,23.5,346.61999999999995,100
4000,3,0.9999859405841036,0.45,0.28,14.0,358.59999999999997,28
4000,3,1.0,1.0,0.28,20.0,112.70000000000005,2
4000,4,0.9999736636545713,0.4640015170439509,0.28,21.78,348.0,100
4000,3,0.9999947075577167,0.7099280614202368,0.28,21.0,375.68000000000006,100
4000,9,0.9999506050004743,0.6790173477284763,0.28,11.780000000000001,349.6,23
4000,4,1.0,0.6404505082544487,0.28,15.780000000000001,300.36,41
4000,7,0.9999999577932371,0.6233043279006735,0.28,15.219999999999999,395.56000000000006,39
4000,4,0.9999635617815237,0.7591390539955489,0.28,21.28,350.3399999999999,100
4000,9,0.9999994532503375,1.0,0.28,5.219999999999999,108.47999999999996,1
4000,3,0.9999206988262246,0.7425039018314357,0.28,15.219999999999999,270.88,15
4000,5,1.0,0.680476468565285,0.28,16.78,367.6400000000001,59
4000,3,0.9999999921960547,0.5618247859142642,0.28,18.78,389.71999999999997,100
4000,6,0.9999964542353972,1.0,0.28,20.78,376.37999999999994,100
4000,6,0.999999994929619,0.6235058864806861,0.28,15.780000000000001,402.32000000000005,75
